0	0
1	0
2	0
3	0
4	0
5	0
6	10
7	10
8	10
9	10
10	10
11	10
12	10
13	10
14	10
15	20
16	20
17	20
18	20
19	20
20	20
21	20
22	20
23	20
24	20
25	20
26	30
27	30
28	30
29	30
30	30
31	30
32	30
33	30
34	30
35	40
36	40
37	40
38	40
39	40
40	40
41	40
42	40
43	40
44	40
45	40
46	50
47	50
48	50
49	50
50	50
51	50
52	50
53	50
54	50
55	60
56	60
57	60
58	60
59	60
60	60
61	60
62	60
63	60
64	60
65	60
66	70
67	70
68	70
69	70
70	70
71	70
72	70
73	70
74	70
75	80
76	80
77	80
78	80
79	80
80	80
81	80
82	80
83	80
84	80
85	80
86	90
87	90
88	90
89	90
90	90
91	90
92	90
93	90
94	90
95	100
96	100
97	100
98	100
99	100
100	100
